task_id,worker_id,label,true_label,is_colluder,gang_id
t_00000,w_0016,3,3,0,normal
t_00000,w_0021,0,3,0,normal
t_00000,w_0004,3,3,1,gang_00
t_00000,w_0011,3,3,0,normal
t_00000,w_0000,3,3,1,gang_00
t_00000,w_0012,3,3,0,normal
t_00001,w_0012,3,3,0,normal
t_00001,w_0005,3,3,1,gang_00
t_00001,w_0015,3,3,0,normal
t_00001,w_0022,3,3,0,normal
t_00001,w_0021,3,3,0,normal
t_00001,w_0007,0,3,0,normal
t_00002,w_0019,3,3,0,normal
t_00002,w_0014,3,3,0,normal
t_00002,w_0020,3,3,0,normal
t_00002,w_0001,3,3,1,gang_00
t_00002,w_0005,3,3,1,gang_00
t_00002,w_0006,2,3,1,gang_00
t_00003,w_0014,0,0,0,normal
t_00003,w_0010,3,0,0,normal
t_00003,w_0001,0,0,1,gang_00
t_00003,w_0013,0,0,0,normal
t_00003,w_0016,0,0,0,normal
t_00003,w_0022,0,0,0,normal
t_00004,w_0020,3,3,0,normal
t_00004,w_0011,2,3,0,normal
t_00004,w_0000,3,3,1,gang_00
t_00004,w_0016,3,3,0,normal
t_00004,w_0005,3,3,1,gang_00
t_00004,w_0021,1,3,0,normal
t_00005,w_0010,1,3,0,normal
t_00005,w_0015,3,3,0,normal
t_00005,w_0011,3,3,0,normal
t_00005,w_0018,3,3,0,normal
t_00005,w_0019,3,3,0,normal
t_00005,w_0022,3,3,0,normal
t_00006,w_0008,0,1,0,normal
t_00006,w_0001,2,1,1,gang_00
t_00006,w_0003,2,1,1,gang_00
t_00006,w_0022,1,1,0,normal
t_00006,w_0021,1,1,0,normal
t_00006,w_0009,1,1,0,normal
t_00007,w_0002,0,0,1,gang_00
t_00007,w_0011,0,0,0,normal
t_00007,w_0012,3,0,0,normal
t_00007,w_0018,1,0,0,normal
t_00007,w_0005,0,0,1,gang_00
t_00007,w_0020,2,0,0,normal
t_00008,w_0016,1,0,0,normal
t_00008,w_0013,0,0,0,normal
t_00008,w_0005,0,0,1,gang_00
t_00008,w_0023,0,0,0,normal
t_00008,w_0020,0,0,0,normal
t_00008,w_0008,0,0,0,normal
t_00009,w_0018,3,3,0,normal
t_00009,w_0017,3,3,0,normal
t_00009,w_0005,0,3,1,gang_00
t_00009,w_0003,0,3,1,gang_00
t_00009,w_0012,3,3,0,normal
t_00009,w_0016,3,3,0,normal
t_00010,w_0011,3,3,0,normal
t_00010,w_0012,3,3,0,normal
t_00010,w_0018,3,3,0,normal
t_00010,w_0010,3,3,0,normal
t_00010,w_0008,3,3,0,normal
t_00010,w_0023,3,3,0,normal
t_00011,w_0004,2,2,1,gang_00
t_00011,w_0009,2,2,0,normal
t_00011,w_0010,2,2,0,normal
t_00011,w_0005,2,2,1,gang_00
t_00011,w_0020,2,2,0,normal
t_00011,w_0022,2,2,0,normal
t_00012,w_0020,2,2,0,normal
t_00012,w_0003,2,2,1,gang_00
t_00012,w_0001,2,2,1,gang_00
t_00012,w_0008,2,2,0,normal
t_00012,w_0006,3,2,1,gang_00
t_00012,w_0011,2,2,0,normal
t_00013,w_0014,3,3,0,normal
t_00013,w_0016,0,3,0,normal
t_00013,w_0002,3,3,1,gang_00
t_00013,w_0012,0,3,0,normal
t_00013,w_0013,3,3,0,normal
t_00013,w_0020,3,3,0,normal
t_00014,w_0011,1,0,0,normal
t_00014,w_0012,0,0,0,normal
t_00014,w_0018,3,0,0,normal
t_00014,w_0002,0,0,1,gang_00
